HIT,Posizione 1,Posizione 2,Posizione 3,Posizione 4,Posizione 5
unit_0,B005ZNWT4C,B00004SVUZ,B003TO59D2,B01G6LXXWI,B0050SYWGU
unit_1,B015XC3B46,B0002KMHD6,B00006JN5L,B0001DHQPI,B001DYVHY0
unit_2,B00QTSR5GO,B000O39U3Q,B0041RUM0Q,B0029MAXR2,B00PNVOBTC
unit_3,B0001DHQPI,B00006JN5L,B00004SVUZ,B015XC3B46,B00QTSR5GO
unit_4,B005ZNWT4C,B0050SYWGU,B01G6LXXWI,B0002KMHD6,B001DYVHY0
unit_5,B003TO59D2,B00PNVOBTC,B0029MAXR2,B0041RUM0Q,B000O39U3Q
unit_6,B005ZNWT4C,B01G6LXXWI,B0041RUM0Q,B00006JN5L,B003TO59D2
unit_7,B00004SVUZ,B015XC3B46,B000O39U3Q,B0002KMHD6,B0050SYWGU
unit_8,B0001DHQPI,B001DYVHY0,B00PNVOBTC,B0029MAXR2,B00QTSR5GO
unit_9,B003TO59D2,B01G6LXXWI,B0050SYWGU,B0029MAXR2,B000O39U3Q
unit_10,B0002KMHD6,B015XC3B46,B00PNVOBTC,B0041RUM0Q,B001DYVHY0
unit_11,B0001DHQPI,B00006JN5L,B00QTSR5GO,B005ZNWT4C,B00004SVUZ
unit_12,B0002KMHD6,B00QTSR5GO,B00006JN5L,B001DYVHY0,B0001DHQPI
unit_13,B00PNVOBTC,B0050SYWGU,B0041RUM0Q,B005ZNWT4C,B015XC3B46
unit_14,B000O39U3Q,B0029MAXR2,B00004SVUZ,B01G6LXXWI,B003TO59D2
